"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2023-01-25","12:45:00",3984.75,"1 Feb 3 3835 P BTO 12.25 | 1 Feb 3 4060 C BTO 24.45 | 1 Feb 3 3815 P STO 9.80 | 1 Feb 3 4080 C STO 18.45",-845,4136.48,"2023-02-03","16:00:00",-2000,"Expired",1148.2,135.88165680473375,1,173656.36,845,"Reversal IC 9DTE",6.8,0,0.77,0.734,19.85,18.42,-34.24,2.04,136.69,-4.73
"2023-01-25","11:53:00",3986.67,"1 Jan 25 3985 C BTO 10.95 | 1 Jan 25 4055 C BTO 0.10 | 2 Jan 25 4020 C STO 0.90",-935,4016.22,"2023-01-25","16:00:00",-3122,"Expired",2179.88,233.14224598930485,1,168710.72,935,"ORB 70/35 3% Monday-Friday No SL",7.12,0,0.163,0.003,19.76,19.08,-34.24,3.96,233.9,-43.32
"2023-01-24","14:15:00",4014.38,"2 Jan 24 4010 P STO 4.30 | 2 Jan 24 4005 P BTO 2.65",155,4016.95,"2023-01-24","16:00:00",0,"Expired",303.4,97.87096774193547,2,166044.68,690,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.623,1,19.16,19.42,-18.07,12.64,100,-83.87
"2023-01-24","13:45:00",4021.89,"1 Jan 24 4015 P STO 3.70 | 1 Jan 24 4030 C STO 3.25 | 1 Jan 24 4005 P BTO 1.55 | 1 Jan 24 4040 C BTO 1.10",420,4016.95,"2023-01-24","16:00:00",0,"Expired",412.88,98.3047619047619,1,166457.56,580,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,2.623,1,19.1,19.42,-18.07,20.15,100,-66.67
"2023-01-24","13:15:00",4015.21,"2 Jan 24 4010 P STO 4.80 | 2 Jan 24 4005 P BTO 3.30",140,4016.95,"2023-01-24","16:00:00",0,"Expired",273.4,97.64285714285712,2,166730.96,720,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.455,1,19.45,19.42,-18.07,13.47,100,-103.57
"2023-01-24","10:55:00",4014.36,"1 Jan 24 4015 C BTO 10.50 | 1 Jan 24 4085 C BTO 0.10 | 2 Jan 24 4050 C STO 1.15",-840,4013.08,"2023-01-24","15:34:00",-195,"Stop Loss",-655.24,-78.0047619047619,1,165741.28,840,"ORB 70/35 3% Monday-Friday No SL",7.12,3.12,0.217,0.047,19.66,19.33,-18.07,12.62,34.52,-75.6
"2023-01-23","14:30:00",4019.65,"1 Jan 25 3965 P STO 6.55 | 1 Jan 25 4060 C STO 8.20 | 1 Jan 27 3965 P BTO 12.90 | 1 Jan 27 4060 C BTO 15.60",-1376,4006.73,"2023-01-25","14:45:00",-1414,"Exited at Specified Time",34,2.4709302325581395,1,166764.96,1376,"CALENDAR 2/4 21:05 - LUN",4,0,0.518,0.017,20.03,19.33,5.53,41.51,21.73,-8.79
"2023-01-23","09:32:00",3972.49,"1 Jan 23 3945 P STO 3.60 | 1 Jan 23 3995 C STO 3.40 | 1 Jan 23 3925 P BTO 1.30 | 1 Jan 23 4015 C BTO 0.80",480,4019.81,"2023-01-23","16:00:00",2000,"Expired",-1527.12,-318.15,1,166396.52,1520,"h 15:32 IC Mark d20 w20 V.2 Sma5 Gap Up",7.12,0,3.333,5.177,20.22,19.74,5.53,-5.65,0,-316.67
"2023-01-20","12:00:00",3930.49,"1 Jan 25 3875 P STO 8.50 | 1 Jan 25 3985 C STO 6.80 | 1 Jan 27 3875 P BTO 13.80 | 1 Jan 27 3985 C BTO 11.95",-1048,4016.22,"2023-01-25","16:00:00",-1378,"Expired",327.4,31.240458015267176,1,169038.12,1048,"Doppio Calendar VIX O/N - VEN -18.00",2.6,0,0.594,0.701,19.48,19.08,10.19,21.45,77.96,-16.51
"2023-01-20","09:32:00",3909.83,"1 Jan 20 3900 P BTO 10.65 | 1 Jan 20 3920 C BTO 8.10 | 1 Jan 20 3885 P STO 5.80 | 1 Jan 20 3935 C STO 3.80",-925,3972.61,"2023-01-20","16:00:00",-1500,"Expired",567.88,61.39243243243243,1,167923.64,925,"h 15:32Mark RIC d40/40 w15",7.12,0,0.512,0.708,20.54,19.78,10.19,0.79,62.16,-21.08
"2023-01-18","12:45:00",3950.58,"1 Jan 27 3840 P BTO 9.00 | 1 Jan 27 4005 C BTO 17.70 | 1 Jan 27 3820 P STO 6.80 | 1 Jan 27 4025 C STO 11.95",-795,4070.56,"2023-01-27","16:00:00",-2000,"Expired",1198.2,150.7169811320755,1,169006.92,795,"Reversal IC 9DTE",6.8,0,0.702,0.689,20.06,18.38,11.28,-51.67,151.57,-47.17
